Team 1,Team 2,Bwin Home Odds,Bwin Draw Odds,Bwin Away Odds,Netbet Home Odds,Netbet Draw Odds,Netbet Away Odds,Unibet Home Odds,Unibet Draw Odds,Unibet Away Odds
CA Osasuna,Atletico Madrid,4.0,3.3,2.0,3.02,3.29,2.15,4.10,3.60,1.96
Genoa CFC,AS Roma,2.0,3.25,3.6,,,,,,
CA Boca Juniors,SE Palmeiras SP,2.9,2.75,2.75,2.87,2.78,2.76,2.85,2.95,2.75
CF Estrela da Amadora,SC Braga,4.2,3.9,1.74,4.33,3.92,1.71,,,
Casa Pia AC,CD Nacional Madeira,1.71,3.7,4.6,1.66,3.57,4.60,,,
Asteras Tripolis,Panathinaikos Athens,36.0,6.5,1.12,,,,,,
AEK Athens,Atromitos Athinon,1.05,11.0,41.0,,,,,,
AZ Alkmaar,Heracles Almelo,1.05,10.5,36.0,,,,,,
Club Brugge,KRC Genk,1.83,3.6,3.75,,,,,,
Stade Lausanne Ouchy,Yverdon-Sport,2.3,2.75,3.0,,,,,,
Atlas FC,Puebla FC,1.62,3.9,5.0,,,,1.64,3.65,5.25
Lech Poznan,RKS Rakow Czestochowa,1.27,4.2,11.0,,,,,,
Olimpija Ljubljana,NK Koper,4.6,3.1,1.67,,,,,,
Leeds United U21,OGC Nice U21,1.57,3.1,5.75,,,,,,
PSV Wesel-Lackhausen 1928,TVD Velbert 1870,23.0,5.25,1.15,,,,,,
CA Talleres de Cordoba Reserves,CA River Plate Reserves,2.05,3.4,3.0,2.18,3.41,2.87,2.05,3.25,3.25
Mirassol FC SP,CR Brasil AL,1.71,3.1,5.25,,,,,,
Londrina EC PR,Sampaio Correa FC MA,2.45,2.75,3.1,2.55,2.78,3.14,2.43,2.90,3.00
AA Portuguesa RJ,Serrano FC RJ,1.36,4.6,6.25,1.37,4.50,6.90,,,
NACIONAL FC UBERABA MG,EC Mamore MG,3.9,3.1,1.8,,,,,,
AA Guarany SE,AD Carmopolis SE,3.4,2.4,2.3,,,,,,
AD Cabofriense RJ U20,Sampaio Correa FE RJ U20,2.25,2.38,3.7,,,,,,
Dunbeholden FC,Cibao FC,2.4,2.95,2.7,2.40,2.81,3.05,,,
CS Cartagines,LD Alajuelense,3.2,3.4,1.91,3.40,3.56,1.91,,,
Cucuta Deportivo FC,Independiente Medellin,3.3,3.1,2.0,3.72,2.99,2.01,3.70,3.10,2.07
Millonarios FC,CD Alianza Petrolera,1.15,6.0,14.0,1.17,5.70,14.00,1.19,6.10,14.00
Club Guarani Asuncion,Guairena FC,1.57,3.7,4.5,1.70,3.73,4.10,,,
SS Murata,FC Domagnano,1.09,8.75,17.0,1.11,7.30,17.00,,,
SS Folgore Falciano Calcio,SS Pennarossa,1.83,3.4,3.5,1.86,3.38,3.74,,,
FC HaMakhtesh Givatayim,Hakoah Amidar Ramat Gan FC,7.0,3.1,1.5,,,,,,
Manta FC,Chacaritas FC,1.69,3.3,4.4,1.68,3.38,4.80,1.60,3.50,5.00
St Joseph`s FC,Lincoln Red Imps,3.4,3.7,1.74,,,,,,
Bea Mountain,Watanga FC,2.45,2.4,3.1,,,,,,
Budapest Honved FC,Budafoki MTE,1.2,4.6,15.0,,,,,,
Union Comercio,Em Deportivo Binacional,1.61,3.0,5.75,,,,,,
CD Universidad Cesar Vallejo,Universitario de Deportes,3.75,3.1,1.87,4.10,2.94,1.95,4.25,3.10,1.95
